% freq [Hz]	Model (first stage) [dBc/Hz]	Model (second Stage) [dBc/Hz]
346.7368505	-114.7686789	-125.8496686
354.8133892	-115.0722826	-126.0934954
363.0780548	-115.3751873	-126.337008
371.5352291	-115.6773954	-126.5802107
380.1893963	-115.9789092	-126.8231079
389.045145	-116.2797309	-127.0657036
398.1071706	-116.5798629	-127.3080021
407.3802778	-116.8793076	-127.5500071
416.8693835	-117.1780672	-127.7917225
426.5795188	-117.4761441	-128.0331519
436.5158322	-117.7735407	-128.2742991
446.6835922	-118.0702595	-128.5151673
457.0881896	-118.3663027	-128.75576
467.7351413	-118.6616728	-128.9960805
478.6300923	-118.9563722	-129.2361317
489.7788194	-119.2504034	-129.4759168
501.1872336	-119.5437688	-129.7154386
512.861384	-119.8364708	-129.9546999
524.8074602	-120.128512	-130.1937035
537.0317964	-120.4198946	-130.4324519
549.5408739	-120.7106214	-130.6709477
562.3413252	-121.0006946	-130.9091931
575.4399373	-121.2901168	-131.1471906
588.8436554	-121.5788906	-131.3849422
602.5595861	-121.8670184	-131.62245
616.5950019	-122.1545026	-131.8597161
630.9573445	-122.4413459	-132.0967423
645.654229	-122.7275508	-132.3335303
660.693448	-123.0131196	-132.5700819
676.0829754	-123.2980551	-132.8063986
691.8309709	-123.5823596	-133.0424818
707.9457844	-123.8660357	-133.2783331
724.4359601	-124.1490859	-133.5139535
741.3102413	-124.4315128	-133.7493442
758.577575	-124.7133188	-133.9845064
776.2471166	-124.9945065	-134.2194409
794.3282347	-125.2750783	-134.4541486
812.8305162	-125.5550369	-134.6886301
831.7637711	-125.8343845	-134.9228862
851.1380382	-126.1131238	-135.1569173
870.96359	-126.3912573	-135.3907238
891.2509381	-126.6687873	-135.6243058
912.0108394	-126.9457164	-135.8576637
933.2543008	-127.222047	-136.0907974
954.992586	-127.4977815	-136.3237067
977.237221	-127.7729224	-136.5563914
1000	-128.047472	-136.7888512
1023.292992	-128.3214327	-137.0210855
1047.128548	-128.5948069	-137.2530937
1071.519305	-128.8675969	-137.484875
1096.478196	-129.1398051	-137.7164284
1122.018454	-129.4114337	-137.9477527
1148.153621	-129.6824849	-138.1788468
1174.897555	-129.9529612	-138.4097091
1202.264435	-130.2228645	-138.6403381
1230.268771	-130.4921972	-138.870732
